Date,Category,Description,Amount
2019-11-05,Health,Moment,125.42
2022-02-01,Groceries,Alone,252.09
2021-12-05,Insurance,Produce,263.29
2024-10-24,Health,Raise,276.39
2021-12-28,Shopping,Once,24.08
2021-12-28,Bills,She,379.15
2024-06-27,Shopping,Market,80.32
2023-07-10,Insurance,Drive,414.72
2022-04-04,Bills,Personal,201.6
2021-05-16,Shopping,Issue,220.6
2020-09-11,Groceries,Authority,102.44
2021-06-12,Entertainment,Building,347.25
2021-03-30,Insurance,End,493.93
2021-09-09,Health,Rate,431.53
2019-08-25,Groceries,Up,259.12
2020-04-24,Education,Building,235.01
2020-04-24,Shopping,Government,28.2
2022-05-27,Entertainment,Entire,52.24
2022-03-11,Transport,Focus,219.89
2024-01-05,Insurance,Until,17.45
2021-04-03,Health,Trade,82.23
2021-11-17,Shopping,Recognize,440.94
2021-09-26,Insurance,Without,23.24
2024-06-15,Shopping,Move,352.71
2020-06-18,Groceries,Hand,228.07
2022-07-18,Insurance,Later,387.27
2023-12-15,Education,Necessary,313.37
2023-09-29,Education,Successful,448.15
2023-12-08,Groceries,Rich,271.36
2021-04-07,Shopping,Watch,20.65
2021-08-22,Education,Writer,226.55
2019-11-29,Education,Machine,126.27
2021-01-07,Insurance,Young,17.82
2021-01-21,Groceries,Human,380.82
2019-11-14,Groceries,Help,123.85
2020-09-14,Education,Rate,346.27
2024-05-17,Bills,Bit,157.81
2022-10-03,Education,Now,358.82
2020-02-07,Shopping,Author,104.4
2020-09-24,Shopping,Eight,6.71
2022-12-10,Transport,Degree,104.78
2021-11-09,Shopping,Miss,61.76
2020-06-20,Health,Option,477.51
2020-12-06,Shopping,During,289.66
2021-01-21,Bills,Forward,143.09
2019-04-06,Insurance,Language,70.86
2022-02-21,Transport,Nothing,310.39
2021-12-02,Groceries,Suffer,305.74
2021-01-29,Education,Anything,220.08
2024-10-12,Education,Each,146.49
